MPI Processes,OpenMP Threads,L2I Accesses*,L2I Miss Rate (%),L2D Accesses*,L2D Miss Rate (%),L3 Accesses*,L3 miss rate (%),Bandwidth Utilization (MiB/s),Observed Rate (n/s)
24,1,1314,40.1,26523,28.1,7957,19,9589,104189
12,2,1334,42.4,25649,33.9,9248,8.8,5436,109768
6,4,1369,42.4,25508,37,10010,9.2,4755,84991
4,6,1329,43.8,25472,38.4,10372,2.6,1797,109937
2,12,1366,42,25205,40.8,10868,11.1,5561,75256
1,24,1515,43.9,25888,40.6,11172,14.7,4177,41690
24,1,2029,89,243020,82,201185,21.4,24388,9267
12,2,1986,88.8,202256,101.9,207830,16.1,19381,9470
6,4,1982,88.7,194227,106.4,208397,13.2,14026,8353
4,6,1950,88.6,192982,106.6,207414,7.5,10705,11244
2,12,2003,88.7,193545,106.6,208054,9.2,9729,8308
1,24,2135,88.7,193249,106.3,207256,9.9,7261,5794
24,1,4460,29.1,60508,20,13392,23.7,9862,50866
12,2,4407,30.5,47419,27.5,14404,15.1,7406,55814
6,4,4457,29.7,47507,28.5,14873,14.9,6456,47695
4,6,4406,28.7,47115,28.7,14793,9,4809,59138
2,12,4451,30.8,47027,30.3,15596,15.4,6475,44061
1,24,4543,28.7,47757,29.2,15265,18.6,5534,31874
24,1,Not enough memory,,,,,,,
12,2,6586,75.7,360578,87.4,320088,15.5,13274,4373
6,4,6278,75.6,326627,31.2,302693,13.5,11557,4648
4,6,6387,75.8,318472,91.2,295131,9.5,9408,5526
2,12,6286,75.4,308936,90.8,285141,10.9,9504,5024
1,24,6341,75.2,210156,91.3,287775,11.2,7872,3987
